Manufacturer,xEV Model Name,Variant Name,Vehicle Type & Segment,Vehicle CMVR Category,Incentive Amount (In INR),Status,Links
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA TIAGO EV XZ+ WMU,TATA TIAGO EV XZ+ WMU,Four Wheeler ( e-4W ),M1,225800,ACTIVE,"{""Range (Km)"": ""315"", ""Max. Speed (Km/Hr)"": ""117.6"", ""Acceleration (m/s2)"": ""1.81"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""9.28"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""24.00"", ""Battery Density (Wh/Kg)"": ""179"", ""Battery cycle (No. of Cycles)"": ""1200""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA TIAGO EV XZ+,TATA TIAGO EV XZ+,Four Wheeler ( e-4W ),M1,215800,ACTIVE,"{""Range (Km)"": ""315"", ""Max. Speed (Km/Hr)"": ""117.6"", ""Acceleration (m/s2)"": ""1.81"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""9.28"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""24.00"", ""Battery Density (Wh/Kg)"": ""179"", ""Battery cycle (No. of Cycles)"": ""1200""}"
Tata Motors Passenger Vehicles Limited (formerly  known as Tata Motors Limited),TATA XPRES-T EV XM++,TATA XPRES-T EV XM++,Four Wheeler ( e-4W ),M1,255000,ACTIVE,"{""Range (Km)"": ""263"", ""Max. Speed (Km/Hr)"": ""81.4"", ""Acceleration (m/s2)"": ""1.41"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""11.8"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""25.50"", ""Battery Density (Wh/Kg)"": ""186.5"", ""Battery cycle (No. of Cycles)"": ""1200""}"
Kinetic Green Energy & Power Solutions Ltd,Kinetic SAFAR SMART LFP,N/A,Three Wheeler ( e-3W ),e-rickshaw,37000,EXPIRED,"{""Range (Km)"": ""112"", ""Max. Speed (Km/Hr)"": ""0"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""5.65"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""3.7"", ""Battery Density (Wh/Kg)"": ""145.96"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Kinetic Green Energy & Power Solutions Ltd,SAFAR SHAKTI LFP,N/A,Three Wheeler ( e-3W ),e-cart,41000,ACTIVE,"{""Range (Km)"": ""100"", ""Max. Speed (Km/Hr)"": ""0"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""7.9"", ""Battery Technology"": ""Lithium ion"", ""Battery Capacity (kWh)"": ""4.1"", ""Battery Density (Wh/Kg)"": ""146"", ""Battery cycle (No. of Cycles)"": ""1500""}"
Kinetic Green Energy & Power Solutions Ltd,KINETIC SAFAR SMART,N/A,Three Wheeler ( e-3W ),e-rickshaw,41000,ACTIVE,"{""Range (Km)"": ""126"", ""Max. Speed (Km/Hr)"": ""0"", ""Acceleration (m/s2)"": ""0"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""7.7"", ""Battery Technology"": ""Lithium Iron Phosphate LiFe PO4"", ""Battery Capacity (kWh)"": ""4.1"", ""Battery Density (Wh/Kg)"": ""146"", ""Battery cycle (No. of Cycles)"": ""1500""}"
Kinetic Green Energy & Power Solutions Ltd,KINETIC SAFAR STAR - 400,N/A,Three Wheeler ( e-3W ),L5N,42000,EXPIRED,"{""Range (Km)"": ""83.5"", ""Max. Speed (Km/Hr)"": ""42.6"", ""Acceleration (m/s2)"": ""0.68"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""9.83"", ""Battery Technology"": ""Li ion battery (Nickel Manganese Cobalt)"", ""Battery Capacity (kWh)"": ""4.2"", ""Battery Density (Wh/Kg)"": ""188"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Kinetic Green Energy & Power Solutions Ltd,KINETIC SAFAR JUMBO - PICKUP,N/A,Three Wheeler ( e-3W ),L5N,82000,ACTIVE,"{""Range (Km)"": ""142"", ""Max. Speed (Km/Hr)"": ""45.4"", ""Acceleration (m/s2)"": ""0.70"", ""Warranty (In Years)"": ""3"", ""Electric Energy consumption (KWh per 100KM)"": ""8.3"", ""Battery Technology"": ""Li ion battery (Lithium Iron Phosphate) "", ""Battery Capacity (kWh)"": ""8.2"", ""Battery Density (Wh/Kg)"": ""160"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Kinetic Green Energy & Power Solutions Ltd,KINETIC SAFAR SMART-NEXT,N/A,Three Wheeler ( e-3W ),e-rickshaw,54000,ACTIVE,"{""Range (Km)"": ""161"", ""Max. Speed (Km/Hr)"": ""25"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""4.3"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""5.40"", ""Battery Density (Wh/Kg)"": ""196"", ""Battery cycle (No. of Cycles)"": ""2000""}"
Kinetic Green Energy & Power Solutions Ltd,Kinetic SAFAR SMART-NEO,N/A,Three Wheeler ( e-3W ),e-rickshaw,41000,ACTIVE,"{""Range (Km)"": ""126"", ""Max. Speed (Km/Hr)"": ""24.5"", ""Acceleration (m/s2)"": ""0.65"", ""Warranty (In Years)"": """", ""Electric Energy consumption (KWh per 100KM)"": ""4.6"", ""Battery Technology"": """", ""Battery Capacity (kWh)"": ""4.10"", ""Battery Density (Wh/Kg)"": ""196"", ""Battery cycle (No. of Cycles)"": ""2000""}"
